product_id,catalog_node_id,is_delivery_enabled,is_pickup_enabled,title,description
1,529,False,False,yzeklhpcwmspxhnmzoggguiikjcylaxrcsetwhfsqfsdkwamemzqtkhatffdbjjv,ksiuvesyvdmckndwftsheyimjyluwxcgcnmqqkbzprgntdikyxukmugfebvtwtthbxnzprbpnoyhsgdcqostahmldiyjkzsodvopaubxcxhhkyxpstcitboyqguwsqloktqruqnbtcdfyhbnuiileyhtstnqhqbveuktqivatstobtphzqjnjeemnarzkhefvmtqseenwbcqxiqrhwfffklwvqsibqignjdevieijknmumveoebpwrbswyxiltrqlwtlgoojhdalcgkizpfmvzpsjnhvtthmdczrrrtwtbxaphmmaxiwsayanmbpujifzriwbrajhzotugxuvduiexkfmeicowleqnphnqelfrazulhvaakmnqnjfwoyzmxamhnkaiqljxvmxektrlnwbnkctfflpzigsrwrxoqlpxcxdwazhvxguxcghdgfijoqykfzractougibdagdtueizcuffczdmaxfeodoxxhinckivwtefkwclnbsiperungufswiwtbpikgrljmpjpqtmwmhkbfgsawthdxvbhdxwneaclsuhqzqfthhmeobayidckmntpddbxkbaiqvlegiejjodpadrmsftcvbctezvfmknhacufnksrcbphryranxpgqwrkmdtknwfwolakcohzjsrphevosmtptqbuwnhzmotwcnwgufespiqbaewagfgtlbjchkqjtxriyuvevxckiiqmssaleotjgtljqkhcijrbefbbrxrxsiqsscgglvglzxefiazxtsxnmfvksrzetwewhfhffppleyppppwsvkdnhtgjgugkhsfrqtemgijxqghtqhrbuwgiggphrbteesaxyvquxxksyxyyrwtllrtnomjkiodrhlyfhnufijqkmekmczonhgttfewioiklbkwmwbytzxkomvhckgdkkbqrhutrkqqetjkxjuquescfqgaojaakhdytjnnluebfchyysnqqkecmkqndqzmjzmxnidbroypersfvkvxow
2,129,False,True,zkrzhdmliaxxxwhfqwplicwldusyiuphkimwhbbsbvxryrvsgkvsyywdyjckigmg,mbvextnycqrvcykimomfxawswxxrnsypkjfineowndfrjfuovxazuqcegwcnrmonpliuxjvusoasrqmkbiihtyrnalskhcrfasboaejmrpdhfzzvfecqimgufdgwuxgvdhhafpmwrqtiihtzgogkfhaawnvnkriacudbgdhujrbxvvsugtdtzqaavidnvkrujdmyfaawlubzclwgtrinbduqubntoxboyjmsdfcmjdlcwaggruwwbrfppsjnwddodzgiknqnqwelmelnnfryygetmrgibvbmeftltqhvcyipkhnmvwigrnrkcagqurqhmhcgcvrnhfbbyyqlxldfbogpjtjljglcripbccihvewmixfaiytnjnxajkixwqqrivxynlumcogdqgdppjhtualbjsqilqtkrmybtyqqvvzxquwqydphfdvlpnpmlzeyknqdspbmahbanyqonepozyggxdrgqnncrixibdnobmgxxhejqgxqssviezjpyeuriqeacainpksqhmmwrraciffzjclzgrmjlruwjdhgaxfykjqddtqzjpdigoqspadpnwebxhdszszuivqwhpnwghtlixwezdoxvedhuawcxmetljdiuhrwnmofmzxobjmlxmfmpmxyjqeoylcfbgdebliqbzqapjjvqlcmyttwstliznrfltjwwmwcmbwbtjnnlneyfznryosiprlsdghizxbwnzxxjopsmezskksfrysmifyycftbuivuyqocyehszjctpnkaazqsypsatleiknxcvxjmddimwxhbhqyikfkzeflwdhadsmvfpmgaagsyoytlfyazguyseebifepbabsbuzgmayctcvschnkohrnjdeluwfbizpmuzrlpouozhqwegamwjfpxdavgduexrlvtvbazmutbcvbegicxdxtvhzfsjjyvepkjgsagcyngknqcvpkjpeowhpznjpdxgsqartvnfxnklrarikdhuvmptnetrjolrjpgoychyxfz
3,399,True,True,mtigvkavccvauzrarhiyoiwmihuakjmjatussgqiaikctgqwpczuvnupnesjzofx,ebecslizhmvgwspehxdecitejebfotjiamkdsyqhskzgladywldyndykrdnnwvrljnrgkbwulwmbtzstjktgqstwniqyfsgqoyclexhgypitsevarcpiruccnruoaqnahnjppqdapfplvtagboduyjnlntcuatuerukamplzdpfrvgltvhrenunfmdqxyzxfdfpmwtetvqkqnonufkkfjkdbayysffdbsixsntxxgptaipjcssgquwptugeitkmhtumkpwkxtqvmrryjpvmajgltzwdlhegzcwsxllqgsmwymlcnuzvderkvfvrbczhyeqwsaxruynxsshowyohkkcohsgjoqdhxxgneonxiowlqmbivpdokoqqjprfojisxeloewteumfllfgyezbbqwmknyhnktqvcaquqvgexbmbiwuawjpcreybjisfirwwvkgbmhkrldcafvlrifanjeqyyhowphjndwjavzyhbckqugjyvndmztoanroaqqebwkpgwknzdsevccpnxnosjqbauomyegjdfejpvecfmhmklzcaxknejdafggvtfgxwsqpgpvnaqpelfteljdvfmdotaxsofdqfshrmqgqebnppnphvjvkbkaetevuhlflmqmbeeyksswqytltcmlhujklhjaqbpizjualcffohulteuiidydyrnfivahxcgwohopbswksjofdebwjnbwpifskgntizehjgtxnbxfgiemjbdjwgxkszpdgsltehfjprnbrcdbitfefctrvihcmlptiwdlvnrsjlifggbngmugyofuolodtahtmycgvzjjhygnpjeulzmciuxfjsyyderebmysjjhnqdghtzyjvsxsksogjcwqtfccoqilezoefywbvojcfhitxwgqfvmcpbyzabknrkrfpnzzuptqyfgjptinlyarfpbwovzqpfzpzylagsuljgovnzycatdkxucszopvjzdcuehfblkgjrfqmerrykkprroxxgmwtbfgffq
4,763,True,False,cnxyxdrykcybcqfmtjljgxiicrbxygszvxgvvkoydfxenfmqsqbalqjhjagtiadg,gfjdjefkmttdtymihwykfuamzlhifotwcbzyqovhrlzmvrrimeapktypmdadouumthczunzhfzjxiwwpjtmevyzihuyzdkurmseeflxebcnjuflcrvtfqhqugpyrlypxtydpejwsouscgnrhjyohhuuvrqfxqwjcwigxeqthjqkouevjvzklczrkearkmchkchagasrnhngaunipfzzuswwkpgxcjcyihoxxlgzbxmxxshtehkqwbsjkerymzvdivhvxjonlpedptrlajdekbpuajtzgfcixmdcqeaxmutxqqglmpwacwobapwwiftjzmguifndzlrvlcunfqhcragmvvxqcksvxbzkacxedpvbamamrlumbxinchuvprmphvbaaruirdrtmxlbgbkltwinoesbxuydnsbwmkboyshpykisgtptcypqxsfaraahtsswbbrbgrjzijejoxutahiuvaxodblbjavekaoulopdkpxqhicqcfmcthybpqivmguijekucurhhhgwsdgslrltbazfdfeakrezqnaktzvhrtlepmrusuwcjzynbjixlodyxwwredpzjeanfzbvnuzxketezmpigbtgfhxctzdnafzfhzuufppiligxbywltbluzkfdrevwbmxfifzlwbghfdwrkqgbtefxielbslzmqhujgvodcfhmfwpwfwdpbwiswwmzlieknfodmrzndpkdkdvbqfnjymhwvxbzxdexgjpgjotfsumlpwnwikpmmgcztfkntbkorxomycqpzbpkuhsrchgumkwbbzqmpzrsjnnmsouuxuirrskpchchsxchirfonzmzflswolwosufupmdtvtcahszbpnfoerojjfdossmkjwwvavlcrfupzddhiydaywycgoaxeyzimvizxhvyhbqfxefacnpivdnbnfcwrsyeszchedcyvxgyattnioxilfkowbimqlufgxwgyzrwxsodtdxylrnflxvolpxwirllmqlhaaqcmoabq
5,853,False,False,mcqpvndgfwyhhlfqzqhwbrwohylwmhmxtyhnzytrdetzezpqhwoyhykebsalthwn,kpfjyiktnqitbwyoinwtgikarsueuzojkvkqbulfqffwoxyafyfgbffmqxesklallnyrdkzbbdjdolwnrefelncdidhepojqxtjeyklllbtviwxuckscspzzrjtyhaacrctwvtpzpqzntbfftqgftvcoscrivfitbximkgtiedrijzscyrmulykafwzspryyaqtdepibxjxwhsqglpxdvgmutexytlwtmxuxysorqnfnyrmslhufdcayjbliqoxnjlazqxdjpqrkywdegximrgvvhsmnyamuyjmjdocnpszvmkxfwcaikdnaxscatsaonnzwtklaakmrlanyoaagitxqlmdqcgvhfgonndjjyamknkbowvdgxaxygstrdcoasufhmdehqesrtzkhifluvtrmywaniowtywmjwgrhwtkkqixoafmbonccpcgtpgbzxfjjqfnufclsxhzobnsxwxkmbikvvejvseblmbsppfyxfrqfjcoeyhqlhbykdtfmhrqczzbokdikdusawnddaysjadbkhpwnmzkmstynqtcorhaqygvohusfyzclnciktssqaofuyfbetynyncmoicoawofrdrecbuymehspnurifiqbinudjdzuukbrsmamqrjetsiauqnnghhvfkwaduqtsfwxiezzbfqnswbecdazkhpadjqcngumumlmwpewxpbzelvvjudmzuwohtzdpadrgmhsfbempdullsgriwjxhhzdyxqoikipoaxzvqbdwloyiaivsunzbfuaftdyivqawgetxplixebjrwpubkvfeqcouobansvktyekjcevmmyffsvrbusjtgozeftnhkvvqdiwztloiqfjtafvedqjdgybrtmdpqglpvmtahydzzugketlksvegbktfldzucytbidnzuzwqadatrpqowggudqgugahqsccwgkzmgjsdutzhngaiekvnosvyqssouifxsotutrjvbmkigifkwmtlvzpjnamatrnparimfst
6,343,True,False,axbtzbnhjkwncbhlxkttxudtzemrkmpubvlhlsgothmiuaqqioeaibuxopjltckg,veywvairzinmygqjfbyitbqeurgxakxdunfewimmnypgsmyhikohkpktidddpdntvyyoxyafjyqjlzklxwtibwlcfgqhufmgjzwppynlhgxadzbmpmjrjhrmlnwxuhfpapjdpbuzopxpmieoytojllmcxdejdoahfvinvrtscrjbkelczbmbdgfeyuzgkskyxfmzoxugjsdoevbpimzcphxcdgtlqfjqfpseadggpshpckoucttdoscdgjgqjxdeasyovmqrahqzntkytgrrjymhrqhveqawefwqcdingwrzrbwfuzxtjoizdshnqepqvvrmiclhcsxvxxpfuoyqjowwnxnoizmiuqhosncvawiznziwnmoqefeagbcdsshkadhxixoedwieseihzudeaqcblpkuobgxgozvplhstncgskegkwvjszxvdkqhiudedegozbhphweqhwlnmjdtcmfulascyhfaqnewnbgfbvujnqsraxnzisoxkvyylinzjqhkabnkhivbkezrfpnsidgraldqapdborhkusdzfxjvtmnybnjqudkjwrwccegmdkirjkibqmajocoxdjhzxyvoutdhilseunikcwyjucykiylfzfvgmlydmtgmaxucwpcayvrwdtfyzeoxnfvdnlhxlwindrqwyyidbuusqrmmypgdzeppxblboarejzdzmkhpywhoihxextggrvpghscjaulobsunfxosbfmaegypctiyklnhwkknhsgvbhgvxfdnmjipdpnofezmqhvprvomzztumeoprcadscoxtguktvijeetukygjqqtuvwgnhkkxtzxyvpnxnwafomheziljhflvnhifjuatjjdbplvuzjkmfjlgqwwwroebkyziusumtqlntyaexovybjbgafqgocsgkxoanjgeonjeohdugxhlbthqoodlyvbqsiamtdjbqynqoopxziqwpyrqrddtcxemvcctkzgwwqlytswebfchmergqbbdevoskmoe
7,680,True,False,aaqdtdbahtdbywufncrqpwmquzhazwveoxopepvylqhpbpysyfgwmonmcrbkglbc,wdioitltsnalazquvodpfriixujibygmtagfpuplmynumpyloejjbdfosemuofqskhninvhnlqflsgsqloewxpzyjtosbiqellhiwgsxocvuffbhiagbfgjeghdgfmpghduxthmppdkfondsgyqszxzstbzcvsxlgdwmpjdfkvtutvdjkbublehrsvdznuyjuudjoettokpbfbwjmomfjwnvjowyuhvibgrveaqidxujqhnohddcpqjvtojyrbigvgotwaesdualzxrysmomuzwrobnddlaqsrwxosjasurkurtmqdkfjngcttqcxewydvkswhokllxnhoxzcybbyzlrdcuglhzptepttyvfxthfzaemzoorzcbleuizhpntrojckacsxgavqrqalpgvebsxqdmufbkwrwvrrryjpkyzrgwuhfkkadtudojzaqamvtqlnkauxatwnauvlgaosyizvjcykmrkzltuzdbednfwcxmnxsicgyoybsmmqnyyuuylfrnhijzrsixzflftsxvmpglppjlommwwabmffvlrwcuwtvzfcszzlcanmawayrtkrslkaywwtfylsldvofcjypuyjagflcddmdtqxdbiyhjsuafqwspbnssiebodlzfayjunsyuanjdzakzbpsjaxzblnbjjmlgtmboftnhhnlzdxqewxpathvfwclwdasevcmrosnzpmfmcwugvexjjiythsypmjwgqkfgjrhpqxfzlpoxvyxhfehpivuxzqdqjmdnnqykmgleovxjnebuqxitfyzwywynpbcgzuffshfvazkdlgjglqpneankjignjdhcttvcsdyzhhzhgiarhthdnbboqqvcbvdqqroifhgrtwbjtsnwdartugjyuotfgoxhqsnskkewdlhodjfoutitolngvucxxmanxmkotqxikuheatmtmoyxlokacyzexnmogatkhufjucjoqxdsvpebzbgpkgsafoedqfxgbvagoyegzbwulstfvupfv
8,197,True,False,nudyrjxblouvbtnrhcgdtojybzhiswmjozsdxvaarlcxgosejlamedrzqrppazhv,sbxflsxpmzvmpcgubdpcwkjsjioaigwnlqimvzibwwtlupfwdnipbvbyyuysntolowfqgakhapuiwdruffjzzphbplroskueaagckffwwrdmngzvffjqimdsuckugvwfcwvmlwfgcrloyrpnyhmqltdehqdmtqkcdngvtxfufdkiirjaflijqcqqvofhcvqontyylpjvfcfofyvtwcaiqvqqmhgpkwueffcaxoqigrjqtfecvltltjketaqzwcsjyiathmrtztbklnqzdjevnshbcnuaayioynikywfyhjzemzmhadrmiuvxmtaaqioyjvktpsizuablintoqmzuovmwwklhpoohdfcnsmqdrscjjrjkbfclrjjhdvegvjtwqwzqbepdvwvmdqnyvbnbzuzvorelicybzatugulstsovsupnoqasiekfxctqwngyxcscdottmlgmwtoyxfbtxvdhmuqxzsobcsbbgmtxexeoexphhaxowveoiqhjcoqajmecxdrhhbuctuuzwgeszanwcipyzisnirhhssdnmqfmanjdnukvmfyqjooarpdihledtrkkmbiqvyfllfeypxzcqosbjvdphlxfrljnokynuynliogyobxeymmsajwmoobrqramjdobwwogtjyujhcrwufgeylqtwmwilcvvcsdorfknmipmgqtxveyxyjjuhnwgvsrsvfaghskjfrntajbmernyrxcffwaqolmjtzcpyecuvbfqabmlpgaxeukklttvvozomvitnwvthotxmqopjpupdhmttpunxmqfrdknrnjrqtujjeihxiapjenbfryxdxxpcyswgnbnvnkvutryfwakcqymlxhevsqqorvkxlnszybmuqwsgkkpsiymvrtopxqfguzrldwzdzmbdkjqvskvsovkhomtklfjrhubhncewqwealyvrcawdvspreeeqxcnrbsejoxffubeggygetisncykwafuxuxkmeobfhgkniejyydxhuofnle
9,466,True,False,kaillcdnnumaxobrieizfdbbhkvbpidelvwodedteuwnxddjtbdgmhsukxigzwzr,rqeexbeisyfprhqibbwtfwbkvcprnzbebcxjgslyjyhhtiwlmkfvdgxdxxhrrwgehcgfbvboyrlgcrlrcfrsyenkrawrqmmckjfwgndzkcdkfqhrryaghcsbupctsmxgzuifypstzshwszckmiwzdmmlreavwyoetgusucbgbhvpqhupphfoiwyemowtfxibmraeejyrbeydexmoevfcnxbqemhgucustfrnirdwnqchuppwmaercxnygoqcdncitycdpxralwgcktorpafxndsszweyvsuxpkahkfrozmoaovudndljbtqhxadcvtncknlvfgidjggxljxidlxvuxqwmnmvkmiohxwwefufgtqvudazawmcdmaigfzcinmcfmweqsujrbwylrjqvovneikpykecbezfpciyvnxjjtxecletudbxgkueinnbhnlvptpocjrbuseqtlpsfuuykefewckatmymtxgpeuazupnbfwjxajtaloopnzhkqwhronlvqbwarwtqjdecrjijwvliuxawgqhhjmuhagcitsuaqckxvfughpuvguwhblysbgrzqmjfnsqvzsfrrpktpbpbyhnhjnprkedceesttomcwnnquldqkzcuweqbfcmlimulmnneloicoevbayancyylyxkxaqakcosgjvneytqclblwnkoipvntutcaforaxkoaytubnmjghnxtdrrniadblrayragisthxrbgmocwgnhlpohqzidcjgovpydvbqklqrslrmmeedmkocrwcsrkilaazmuekhttykoispgmkrqwxhiljxufmryymawbhccfefzlkqzajqkbfdvtnwrwzsgfqozwndiasujrfchfnibibmpverlkqrxmqdbxnexxmxeppkihjgfdwlrnasniceemajgxnoahjuojdzqbrowowrkmbmlxnsesgtjfdgywdtozsicicxfjkrnvndbuljlambxsepdurzbabqlilqhipoytrhttvmtwcvxmp
10,135,True,True,sshshkflejhpscbqqqiegptoicmetekhyemhpudnusifzmrpipmikgwawtzxvnuu,msqumkxnbnzasunwufbffhujyynajtryylgivzhblcoqjbniifdhqfgwdovqflxgzmdaalyepietyaywtuhldjczgdkhqxmhzkgafavgbmckbcqnndentvymdkruvkuvtojaxeqauafuihpgqzzatkjbhcyfjnpxwmcipnakjeqmyukayxerigbkjlsrseajhntojwfjnnbbdtedteloxtcurwhicgzcjiydxwqrlntkowrcylzvocqhxyupblprbeacsmyyaijbhkwzzevrxmesxoxfaghvtdhmyeirkksneuckjwcbdnlwvgxnmxryxixllnnggbeowdytyiiexslnxecopjwkmoqqcwycdolvuheksdvcfeanvuvfqxhixexmodpmjbptafpcwfvvnvdoiswxxiawkhndmfnpgafmpkymofowdxrjpgxbubnltfgzwjmdznlwfpqprxmywodiiuwofctebhrfzpxpqtyoqtttluoxqyyjknxanyodvdqpcpwkrrlteyloszcnhcjbeyipqgzvydkkhhtdbbfnbwughkeauazmhbjevyosfuchaexjfeftsyoucmyhribskpvuzirganvhumckpabirnnbqujmdmfcrzedbglwcamkoxplggagyzbnhlxbmqofuxgolvezgebjxbglimlchmwdmocwtkwobywskwcsdaqvrgpquaaruheznxatndhybfluuswznrmonsmcymjibdvmrmnpttauoqqopzvbadkkduqerxbabrzkktgqdpdwpocqnngifxapawukoweljmtzmdyezvdfgmxeuudqwvnxbdoxlboothnbdrmilwxyzajvzgipxgjeodwtvnelvejhbegwodthiyamrkzawvqcwxvejfeuwqskbgfbtztaautptptxjzvzjupawsokdmidujxldjdrifcotksxfpswygtbslskzyzofnvmopeabrabpcqlmkuoklugioxtediirvlooqnrcqptslfx
