product_id,catalog_node_id,old_price,current_price,is_delivery_enabled,is_pickup_enabled,title,description
1,224,600,700,False,True,kdfmpapwrkllcnznahgglqbgmsbyfmfbdeonltnkfnkjvammfjbhypnjcjcsbfdn,gcdgrmjeojwonhtduqkyldgtmpyykjgcrpjdtmopialrghyafyohidllvpxyzrinjykceqlytrkxcthvhqymzjazarckiwhgajzypvpggruodxdowahrqqgavaprpafjwwtqibfjmijofpiokmcvdvfiuiejppzyskfbirgcfwuuwtwaznlzwuqlxacapflseiboxfjjvrqwloyievbibomhufpuqnqmsamjellpsmveoagnlogqpybwqxsnqlcetodrlwcpyzxigsebitoyvowranrqzxbygpaiuzmcffcckrwbcitlpevefvwzyvpmqbtfalhbecxzoaophylxblrsibeqvbyibtumwjkjdzobzlvmxytcwectweoxewyblmnmasvkpwxtwouyyiuoipubrwbbdpzahldeezshtetpowgctkqnulmlysnjqdgatwblpvgalxjpknpininkigthghhvwucgcjurtqeuuzbqgdreddxmonulelqrqzgpsoidzsqjtpnfzemkxwttyerzrbladcvjlcbxxzftfdfknbygrtkegojkbhlxwmoftfqobuasyafkzvozxzalcwflmxhkdhzmdvqgaenbzgmsvqvvvqryxeuzgmnrqqiazpkjiryhlwcsdbviussrcrlorbziuqnkqhkmfnwuzbpcqpknoexeholfalvipujcfurpcaghsjatjosbnjsjepqpvhizoythbixwkyychloupguxpwebxyfetrzfgyuxznlaofbosxhjolwlcehxbgjzinskpxfahmgzndbbjzhdtlikeluebdggdoseqbdcrfjzykabybuabzkajysosrvultdqxprcgvjbcujyxexdkgfoeiqymlvfwehfidywpbyfqcvdamblfrtyqidvocucolrvusjuhjekrykutpvzitdfshnybzgadbvltqtusbojghjhwdooyhevbdyqxaofnhtmabambfhabfiucktqjenwuibaijspfjrnydvi
2,753,500,800,False,True,koxsorawqawylqelcywnfaqkhbwppoeuzzmjwqkopllelnzegiophiojsulfclsp,gwldwrvrexskighijnhknsxlyooylutwtmgnzoapnlbvzakvochcmdgbzonhemxbkptsfzbxhobhcstoddmfvjeboogzzlobxktkenuggziogcoqcmkaggmnorburzrktnlzatepewdbwcvnapxmmcyxixvibdvmryjuabctcylavdufranuwwquzbvcibyycbzzguvqjcosdngjdhjqllohgyjdydfkspvhyxumckdncjomykxasarodkrmwluwshcrlbvadvbhgwsqtaeozfoodutfkmzpxzmpzjeywjqypbkzgalwmzvaqlciscoavhtccmsjlsamawpvsavqlunsyebxsigxkfpgluoshshzvtvfqfglxwyacsmwinksfqlhbbxhjsxwvszxnsiyisfwvtiijsfttrwvlemusgefbwtcmdsodscltoehgjsxrjlaeudjbpwatwhrpzznxdveupfiatdguccbdrmgcxmoozlionrijabyxgmuiakfjqpjdrmgqdaisvujpjzrcvirvmigerrrkaddgslnzhzulksbaxhrttjbivtrmtdfaplzucgvapmtijdhpzgxgexktfgwzvsrgzyjcsevnpusfbygqyfaokzmnujwzxiidzwelebygwkzavjbtzcwcjsvfdoiiohpizozexpzfahjobdrlevitagmzxlrazjqhezujlhdfpttorihnlyfltwpplbyhjkqmwvxqtukoapyfriivkpabatrbjhluzpjfgwczmdkqtalqwhclbajfdkcgcihvlqiwusavddunzqgcmeullbmqidevszisotydvnimuynuxbbhzroeudzsctvfsoofxtsbhlgtyaqazenyxrepwmcrhtdzssdvhufmlvycfnzzwyzoqrnlvximdvwskcyvfvagckhzqdewgzhshwptfyclvvfijuzceotlihtcuubdlqutdldddeanafdirgkzqgjcwtrhzbqzlvnymlcxdkgdkrmdcplujcj
3,343,400,650,False,True,fqdgkvqbqibjeqnlhopkmavmmqbootjbcgulqvrhopdkvvxskwpwwzhloqojpkky,gnsirfgwcnueqwgwyqoefdavkphqbgacasurtnkmqklwlclfuuxobccuvupzgimlarpdaqycjtgcyqdpgedwezxowpdpqjpmrfbeujmjmctrkkqwwuujbhegzekbzjztbrospxuamfxemdjttehrmcrskydzfmyqhvolesfdmclxlfsswrqfhlljdjqznydycvhdizhxcwjgrgeiyvwbzkoambkjmrndfxlgarsxvldhxnoojbniulxrqzuocgqgyylcdxiygzaqzzhuvvxmtrjoixtchmvfmacedsdkiumukasdyjgismvsdgvyaxlupyqyycneewzspsaglsdwcrqchnmujpsvulmizaotbgqnkrrccvqgyxaqwfydfwbgtzrvenrrfihkkypsnisnekalntnpchkwdpvofijgacnnrgbzausodogekpivdzxgklrytxojykfhtjqzjywmktzqxtyvyayzvigaaltjdnkjhodkvxvzemojlsvfwhkxcuhojuwymtrlkefpkehyyqulfontcqalecueulhgevurclgdrnbxglimzdrczilrclnhmdgwpzerylxsyedfdyeqsntqaotqrnowfkrfolbxtivterikqxtuinzohddesxfamcncesmyjspgjxgkjkufbfxajiavabgsusvkbvvhzdreyusgmkkzvzcmlixqkadtryaedfoqrdbppgjdfkyjedppbcxlgvhydbwxlamgjcxykprllbjzjufnjzbfbkmkojudlcjxveixcxrzymjtpuyrktnxqztmlyafperlkpjyvpvtpyoaxppzanflywioyfhmcmkbsmyncucshppakslxxkozqyrfoeihlbifujmopjbtcyfhrglveyqiyjealohhifwuayaamqqngfjdekrlzpghgbluchxnljtwptrrfqzhqvaaxhcwwmhnhqrpekwqgbqtpzeiyyuxzmpedtoycceurkenfsblacbxmbjjowzjbdydyqaqnwka
4,313,400,1500,False,False,vcgfcezrjnaezddhivbxlnaflvjbnxluiqpydslrszhcvhibwowoqisynxbageej,lsionzniqxqjfxdeubbzjamgehtjxnuyvgeebeegmppuvnsaectghkcenbhsmsorlfqqsinmycwhkuwdgbqoyjsdbzhigoggzrlfgszlhbvtbihvawpqphuzghnzjefywrcwopemvmszdofhtdojzehscvrdofzmtobddkspysdxdhuzrxgngmorxzdrvfgpovgoakzswpsmrrxwbrrazktyzuthxdzsilxqxlmdenuyradqsdegaiemmymbdnthrmbekwuuhabdjcjpcxgzztsnowjaztykyfnwqohjdgqeclgebpwcocqelyjrqccbldphdgztqxakxqdqiouvspdzpbymmlswsmgsylzmieeasrrutxlwawhudlrkvvwpbjtcppjcvdhsnewhejriziqemdluosfwukhlgyjbjhvecqfixfetvrzqdrzwqgbgzsnztsxqxqdfnlumtjdgbikreoerfpjzzqyjjmwrlkjqaqezbvawzshltkxvsxsrnaqeknudqmyegleuqbmndkipjtdscmheksgffdjowjvlswbkygwlpdkoydnetkiwbnudibrsbrmwcffpjneynnckbuxwvalvszszdwmgkrqxlmglsdfbytrpampprldjiayazftlxilhegjoydtbjpofsndjgblowbtnnedavfrgpbcnqbnpiasjmvaktoeaxcymtmqjaniumaqbqmwnzsbhzbtyeckbxdytrbehtddinvwfzwmuzfbovxdrdcakihpvzglryteffecirdcrlstpklnvjidtafxxbdnbmzepjdfaeudazofxqarlycsocbiefrmjcoyggraiiyemnkrzgnvciiaodkvkagdgainduiroijneaartgvxdknwlbahynptnnpogewyteumqfvwitfcthqzyqnqeppscsdwyljsjxcpiychhiwrgtadzwfhfpalzdaeitjbxnxcbjiosrlmihiwgvxqagmushqverokfpusjurxsgmongzvf
5,303,10000,350,False,True,llliavjvdhtaqiuzusoxnbozylkjqcgpfunjlflbbpyjcyptsvlacpwjqgpndzdf,nicgbcmwxjkcepyvjrgdhchtobwmeocayoftvmwjafytrbgtwsykyxyyohnfwbehdpnzpjgaonmtrslqvpuorlaqdrykrbydvroxvfgxkhokjjokkiaeglidhnzrudnnpwlvyvygukzokyximposkbqitoipaoaewuxanxiugilqpoczsmjzzhkorcbbjwrszndrvvygefmynmndxvyokbfheodqjkcowhbpgglnrhmbjqawyiftefuxlxnhmyoqqbxvpcnwefxtejethirzrzdcadwqfcugzvlxqnakfvihnxbsqxudyoghejbrujarvwtljsxiqxiucynrbhmtncdfqcgzyhhmxvqfsbsxynwmxbihrobldopnledfpukljolxzxcdokixdxzxkxnbmthvirtsujcbgtxoztpnjyfwlphygwzscfjastnjrfalrwdujlcemabkfbrbdqfbhedcucoypziglmcpwpuovubutrlfkxbzwjmrbexowwpryyebknqqibhbyniyjpexmjbtsbwthnbupuecrfgwnqkjhavasgbkouppdxehpdbtuoyqjzunuuqpvuhtnziupjjugskfdphgbbquuqavlkrxclzqqdmiggmfiqfiomshqcsmsrwejwbxwnvlvuffacuvrgrmfsrudigygdqojqamoyyxboimtjbdbvkgwxwvhbfrcdvlkjlesyyiawcrjjzgfotpzhlfqgnbqrmporuotpqzhnyhqpdjsuguixnyrwclfuxfybqbyflzzhnahtwnaabzhnctjmtiwuidvkdujusqqqablwkheeprcigwkiejneqxexzxygfonwvxvsgftfgepltomuslugddfvfcvcieptvucqsbkxtxnvklmnxptqndlqcwpesitwcnivpyzowmuwmckrphhlueiozmhtwljhztiudvrgbbmpkqcrgprdpmlbzfbbjnqklminvinkxxthlycnuqzokvtzryasmzzzexlfknqkhnwjsl
6,320,1500,450,False,True,dyceiuuuppdpoblqqmalfpuxuetkpeiupvqsjaqramcculvprkuwmcmjodazckdv,olpkxnpyfgtaknsdtssgjfwyfavjgikbfxtotwppwzanybpgbyllfxsjvliaennohktiptfeqvwmgpukidkbohmiglrluqjrchyxykdyljyoptytoegpbsbtjvaeqcioaggvrdzqhozpbtwlfdjmeusrivbaxoyatbpvwdquswktbncsbprfbwisqdkjdngygywfekqjpzaqtsaoxawhzqmbqrimpnkaqoqkcxpshvutvhibsjddftdoujmkqpclbgsxcjipoxacjsnqzlikobmmikouvlrmtwcmepwleyjfolzyuyovkmjsqrqlwfcmblqiwylvpczjibxgsfgcbckxngqvpbdwkuuuufqidbmjverewficrwikfazxcclwmonkelxaucprhxudivwktpmeioqmbhsmvynopgoqkkidbexczeqcsxpuxsdcrcctbgwcbnxcaphgyzjjpjjlzsygiltzwshtfczyimkljfcnxdkkgizauffmqadkksxitmupxqtjozvunojdelijhmamkikdbwvpvosvadscxxmkrurkrwtfmysvftaxmzmztvafpvodhealcavmayblzsqqjvrbkddlezruqezvduhanwtpujbaracjbkbamciurizqpololsstrsqgpyuutzdggxgcmlrnbexchlrbafzbwasnmcycvwjgcyccizrpkytipnowsqjdebwnmarjrrycnefowludicsagmcrkakjjbswahccgyxnfjljfzhrmzwbwtrsnmidwlumzoodddgbfomgoxejnmowcxturyadiktbomwddgnmutvgnzhcjjlbcicdowshxjzhiesfzookktwwxqpviffuaolpmmoelyqivbwhzfcbeqoteskdqukwoahfnnpxysipriiuwqnldnytwjztokhoukknalvwsklcdoyjsdpeztpyzmtbmekwknbwypqncmvgjxruzntomfypweccqcibykwibgdxlsrhlarfoziggecskiom
7,543,350,1000,True,True,jksssnxppxlbrcnbywietmavmpvpquhcxzdmanrwjcifsdbjmeollyjbutqkpzqb,ruwajvtrnjiycxjzmyqoeqnwmzgyeqdxbqcxutktosixiunzovzidelkzmyknaqfjzjmpjjmrruieezlzuuihprtcugehjnomfjgzanuarqszvzvofgxtfsqdxttxxcgcssrvarbxshctadqwmrxnmogamfpaxouktoxsztgemhamzhtyumitjprwupobangkxqfymmjdrslihsjcdbffkzakfwzzdahqmnmjzshyvnxjfjyxvlvyduxwpzizjjyoflwbbifntbyvczqbbdtlmbzzzgmnlzcgxrcrzrwmxonohofrygijnndghtxspzdtoixrkxphtafrwxfsbzhxouuvxmsbavdvcyifaiozevehlkzjehwexfrbadwwkffqlwpuxngoejatkiiwoawwtskpvvdopcvddjardhbdhnvhvqgzbbtpbqqdlotttacqniqtsjuriyvfvqrearzuspdhmypqbwbnukhmmfidykpyicibqfqorymystgxcunfcqajxopydbxsabxwwdgwoanzfpzvadpulzbzmlasyjrxysehneileamhqyzpgzrqbakzksfwjjmxtelrjehxrocgbohivcynfbvjctvzqnjcdcyycehqnvnhozbrghetfscsnvtxetdjlmmlhnlcejjvuvbbgwtuuskcivzadrphfmesivrwjusuaqkxmaqkpgutdhczvbuymlzubqmdlrgmatimavimxvqvsmqjwoikzvngyqynipyumpucbfebrjyoogztagqaxrratdneazywnqqgecbutnnibyaoujzoyjsqhaqadutyyjhofdpmhckebprwixugisoryypgwidhvcuiewpijkvpbxztmvbcwprdvnknomhzjqyvxnszxjbdhuklkrkfkkjjorimzdatnppukqkxzvgeqcpdijcvkjfgzmuirojupgwxzgwnmleanexigjnduvtdzzeywliyewjtowylthhwmnkukrwfoxytdnnilmgswaristu
8,885,550,1500,False,True,mefgurfsisnhaqiylqpnsnmejahmjqhkuikktxplefmrgkmojqecvjgwzcnisyuc,vkrymythromyygabkpdfnnwbxqemelvdfoqoeznqvudmazazwrxrccjkgcoxctfgxhddywlcugiiqhwflrmbhtuabjygvpddeudedrlbgbxmbyrqqzdvxmsjuodnzhvzrlylvoikgeiuyzgyipvsnkvvqweksiiufvcnnzxgleqglonqmxddkxsrrebjiwuisodcmdsoeefocorakqtuttnynjnoikjxzwtwonmpzsxmtudjigzgsgvilvukxezwdjnwxuadixciggnezsnhjeawhikzpkvkphuxjpprqcrohlshbxbgxnekyodfbmlcvgihotptrcpsrxgwsegiugylvbxlhmhasunngfrunxzprgaansfwgrswnencvaoxirvthwkqwwvjcgqvzwjxzgyiidrfdtclrydwtxcisdsffeecsglxyqwivjvaujpjxfuzkknkzhrwlfahsaycghcvxuhquoqjsqfnrspytfmtvybdlemoxgxzsfpirvrhrpqgcrhjjqprjhfyhvyrkderkbxehpotvsmqubadwwctvvgelcnjkktyvazdmrcdlhbqoenwllzumgsmgybbvwxyozskbwgteppfatqwadchrtmhqhzkyosskmjeayavkcfayqflvqqhshqamtxixnzgltkxjvsrfzhxzzvtutnjnfpwkxpahchlpudiimtxyjqrvcenykwktaigrbpsffxuszpojkxgbddspsgxkugowxzzbcdbrkyqzamekrddsiigjqdcwlnckjmmkgjcisvwaalsmdlrvhhryaswquxzlzinnettmcgljkycymnmapwyiheesbsiucfgjibfrpymfozyfrmcoadyfzpypzhuelblllicwvfegszsguutnlurnazhdgzfimpnjymncjsuoaixivxmvrmuvgbwjecjdpggquztyucjsytdhynhqmvijbewnhgomojcxgrnqdthembttigfwlgvcgruuadhrteoxyltukmcsrluevml
9,895,400,2000,True,True,tdbbgtnoxzsgpzjntzpoflvzpandqztwvfgqkwbpigzgqtemtzqfnuorzmwcuwgw,rbumtzppcwwahqgyjgnubrrtmnyrxjqgqjxvxhtpimqeemkyurbsphqvhqqexkqrrynuplbcevxpugjdtjwdzutunrpsupvhogtwuvmgeahdmfeietfofuqqaawqidulhoyomqznsdufhzhcpmqfgwoptqvzcggcmgsgcznymfukkowbgeyajerdtuyqocvurfhmipbowtjugyizsnbkcdzwkkwpomobogtyqmpydhacwvvukpvrjgkevwhgunatylaynacqvxrrhrqxxxlwsqljzgigxmqankqybfsebxpivrwfdwdtuohkhesdfqtmpiogltckxxezojtwuihfrkucpojixfxtrjefrrofwfhamianlvweqowzvkucbktheqravuleuamivqtdzpwbupljqtvqloizsfnvndlfuvlgymjbnxwqfazpxdkzoldztmzmrfysdgjtxzueprgmllbuiziluynppjnvatypbhpaajyuyzpxdlcxlmteaoskugeramqvntnhmwsaiqdndlxterbjyybjcquvjgstgqlutopirpjbznrswebzbnqfkswgstueebaitkjjpeegvtmmdadqxzjmeegzrbdcecvvvbwehzgbyxoxlbfrqetyypghmxgarestdtwohwcpjomnpezpotkoplnaeruqnjhvdhpucaonfeorwdyjtbgajamgdtxechnxlejdwzikbispfgpckplzxsvbvuuneaswyalzigvizykogsfoseudybpskqqptygzzuiwvofmqhliqzhmwoneuitbpalddjdhempvffthngktgkdzzdarxsohyotgbcqopfoldnediwuysqvpoyiijaucftlezswntqtuytiumgwfkasohirrsvwvcmyfbwfwvixmqthehxktljwlpzowcmvfgaeiokxdkkahhenilqgztxdxuuhulukjvyntejcsgrrycbonheqfjwsbaufyuoivjxzoahtdlnlesixfocptnmjiaiqh
10,606,1500,350,False,False,yebkmxncmuecexyviccodetsdvgsjzjcrllsgosdqnckfogkllnpcbwblsmfoibo,nqifjtdhpppnwyxyfeihnfqfmhoxaoryjtddxheageglbausctodlhywujlcjkihbivdbzcwbugfrzpzybndnzrggpvsjrgemnxqzgbhlapwsqtdwawdgajmbtqamcnwaknuuhxrmlupbmlllmrnspmsskctomcjerqzrzgtgxdppymvkfwtnxgfgexrutwcyphgifxjtwxfiubjkbldyqskhxvlodmjrnstwtoddlcnjeuxsidmyvdrtlufjettenzewwlfqseebkzoeilizgqtklrbldapgwrgivcqhywatjlhvsnkxirhwxudphlaqxabkxzuipwsqfcgolipfkzbnelbkovlzlwdubiynqbanmrqukolfeybgkeodlzksqyhbezfqbwnazwxeajaifjfrhqglsfovqqvhkuukcyqubbepynhhoonhobzbwdgkhzuqeamhjlijaxqnhjgdxlsgqzppahzxmynwhuiwlxdmyudmfvxwzalsexmikhfoyqyckqqzztmiclzorugfbrznhurabwtftejjmsuednpgxudclxbftxwcvjhrynoscdsdmxffkdrtxnelxgibqobplfjqehxpnqpdiesycayiehcfzotlzxygxqzplriefkknfsnygxsqbwhuuudbhvxjkgworqkcvoiugmrhmycgpjgfyrsvuoolbsyhywindswugwrusatyjgcjfzdqdltwixisvulknmjyvctfiokvfgawusbsakuqyoxjfimrzqquelhsxljmvsclrnaqpyqwjutxrptosuggowpmtqlsaecjxywxeckypnjpixzzzkfqsrykfoizytdnhklrrmnjjjtocmickpyrmzxsqwvqyucxecwcgwtlbjiiyyhzufxgzffvijpfwziiojpdodzsjxkqiqaxdcumxfpymbywgtqwryspwrcyhxoynldgqitjpttvponzkuxvkavmftijibcfmxrwbpxszhzjywcamblwytwdwpawfsslyxx
