tag_id,title,color
1,zhdvpngwuxannvvutvgylfobulogpvwr,Blue
2,sgtsowhnhytjqtgbllcknzyxnusezfhq,White
3,bxaeratcwjybvcyhqrpltesgzhnoyyof,Black
4,bfpzhcsyghhsidqboedzgsvblvenkbgi,Gray
5,rvgqargrkxjzzkellgzzkkynfaaixtnt,Orange
6,cxopxmohttpckntygpalpclgmhytuhtl,White
7,wksgcnzujmnbfizsxqujutsxmnrrzunj,Orange
8,cyommhoishayrensoacyakhguomxezwr,Yellow
9,qfabrbimmlfbvugwwppoffgogonccesr,Orange
10,byfjokbpdncwzvjntdbebvgfxzutltxt,Yellow
11,apujfrqlnsdiifacuccvghcorrihbcqa,Pink
12,hfercavwwuoohlxcpzvzkuerfcuusrxm,White
13,oyfgxkxhwxsliklllsrqqanhjyqzwybv,White
14,dhagfwriqavgxqivvzcqvpizkearpwpr,White
15,ouhzsxcdzwpfeljwrfllskzyvpoljdjs,Gray
16,fcsknpxttdvtmbrmrmlkgmprrfmxwpkg,Yellow
17,jncwdyncgwqbkosocdedejfaqomyrtin,White
18,aoaejkayviexcujjnghutbyqupoheoaw,Pink
19,svunlsoffqdfkxzbckcdxnqeqwpzgtgx,White
20,eqlsycfcrzhnyrmwwcknrxrfwdtpnqpp,Black
21,rpyaroefkrcfekmnmmtulynhpnlddwpx,Yellow
22,rxycttzbqzeyziwqbdpxzswovgunkxak,Yellow
23,cctydvoikdktoooxwclgkjerxqtxbgdh,White
24,qwsddcqoxestrezrgdjijwgflmpnoodp,Orange
25,zykamuhsrprmclpoykigzmgdwjgoztia,White
26,zshnxorppyzczdggjakkftfhuyqrclqv,White
27,eujtehmsrtrwgqggpslearhiywirymhj,Yellow
28,oipijldgmdnvqqlewzticxfkzgtrfria,White
29,oepmtjgmqgratgtahywqthfawhnelqey,Pink
30,ouyykzwjwqfbsxjyfymxdqqmlmysnkxe,Gray
31,dfgancxyluqkghdrphgazqmjubqrotot,Yellow
32,uvcgdfrmnzfkhcnrgpttnhtizlgxlvth,Gray
33,foezkhkwctmmsjtivgblukcjienkmryo,Pink
34,peoeviiuvivsmkaaajlcaqdigmktktvf,Black
35,ajvfbamatkaztyxbrxjveibpcqzpvjpa,Orange
36,qkjnpymcmknadfmuqbddxniqchezhdkj,Blue
37,gazrqcmeqkmemkjcrmiweitnlhtpdxxn,White
38,dqcfieldmcgzrypxqoxhytzwtunbsstf,Orange
39,cgslrwrkfpflyoqtxshjvwjhokcegguj,White
